DEPTH (nm),B,DEPTH (nm),Ge,DEPTH (nm),C,DEPTH (nm),As
0,1.00E+15,2.584,0.008943338,0,1.00E+15,0.89623,1.05298E+20
39.595,5.30096E+16,3.314,0.008699128,50.42797,1.14958E+18,1.83612,9.85786E+19
40.325,5.74906E+16,4.044,0.009114156,51.36747,1.24975E+18,2.77573,9.01747E+19
41.055,5.63009E+16,4.774,0.009148646,52.31916,1.28301E+18,3.72751,8.57447E+19
41.785,5.68065E+16,5.504,0.008557185,53.25865,1.32634E+18,4.65487,8.34979E+19
42.515,7.46977E+16,6.234,0.008575426,54.19815,1.13485E+18,5.59441,8.25888E+19
43.245,7.07276E+16,6.964,0.009882061,55.13764,1.3813E+18,6.53394,8.0549E+19
43.975,4.83776E+16,7.694,0.009462214,56.07714,1.46684E+18,7.47347,8.08068E+19
44.705,3.74619E+16,8.424,0.009284241,57.01664,1.61074E+18,8.41298,7.87149E+19
45.435,4.74341E+16,9.154,0.009750139,57.95613,1.58364E+18,9.3525,8.00877E+19
46.165,5.19262E+16,9.884,0.009359489,58.88344,1.82545E+18,10.29201,8.10661E+19
46.895,4.75237E+16,10.614,0.009631669,59.82296,1.90341E+18,11.23152,7.80207E+19
47.625,4.44601E+16,11.344,0.00897442,60.7625,2.31099E+18,12.17102,7.87923E+19
48.355,5.14238E+16,12.074,0.007655294,61.7021,2.25708E+18,13.11052,7.86158E+19
49.085,3.38403E+16,12.804,0.008137165,62.6417,2.40459E+18,14.03782,7.73548E+19
49.815,3.17613E+16,13.534,0.009502475,63.59352,3.00091E+18,14.97732,7.7157E+19
50.545,3.18404E+16,14.264,0.007701082,64.53312,2.92908E+18,15.92902,7.53359E+19
51.275,3.69431E+16,14.994,0.004996551,65.47273,2.72238E+18,16.86852,7.6995E+19
52.005,5.63567E+16,15.724,0.00705116,66.41254,2.97252E+18,17.80801,7.6391E+19
52.735,5.78777E+16,16.454,0.009581053,67.34113,3.24639E+18,18.74751,7.53313E+19
53.465,7.03187E+16,17.184,0.007330749,68.2854,3.50559E+18,19.687,7.52103E+19
54.195,7.72743E+16,17.914,0.00505662,69.23582,4.17668E+18,20.6265,7.54968E+19
54.925,6.40037E+16,18.644,0.005779087,70.1955,4.50268E+18,21.56599,7.37373E+19
55.655,6.61441E+16,19.374,0.006505311,71.16524,4.72438E+18,22.49329,7.42808E+19
56.385,7.95615E+16,20.104,0.005336642,72.14473,5.21241E+18,23.43278,7.2927E+19
57.115,7.79139E+16,20.834,0.004848502,73.1339,5.24217E+18,24.37227,7.34838E+19
57.845,8.50195E+16,21.564,0.008556197,74.132,6.25322E+18,25.31177,7.2719E+19
58.575,9.70647E+16,22.294,0.010680673,75.13847,6.94244E+18,26.25127,7.10383E+19
59.305,1.19033E+17,23.024,0.00724599,76.16649,7.8421E+18,27.19076,7.18662E+19
60.035,1.25625E+17,23.754,0.004944441,77.17556,8.57565E+18,28.14246,7.20082E+19
60.765,1.08518E+17,24.484,0.005863593,78.20512,9.45302E+18,29.08195,7.06097E+19
61.495,8.97393E+16,25.214,0.006788733,79.23909,1.07149E+19,30.02144,7.00946E+19
62.225,8.90538E+16,25.944,0.007995474,80.27892,1.11781E+19,30.96094,6.93494E+19
62.955,6.74966E+16,26.674,0.009916151,81.3232,1.21143E+19,31.88823,6.79674E+19
63.685,7.88758E+16,27.404,0.011105942,82.37178,1.23792E+19,32.82773,6.74967E+19
64.415,9.68301E+16,28.134,0.013740954,83.42474,1.25666E+19,33.76722,6.87031E+19
65.145,8.60778E+16,28.864,0.015680362,84.47967,1.23003E+19,34.70671,6.56557E+19
65.875,7.01439E+16,29.594,0.013296977,85.53687,1.20337E+19,35.6462,6.46628E+19
66.605,1.12996E+17,30.324,0.011391934,86.58132,1.18773E+19,36.5857,6.52663E+19
67.335,2.26292E+17,31.054,0.011901482,87.63806,1.06674E+19,37.52519,6.47365E+19
68.065,2.84493E+17,31.784,0.015247594,88.68953,1.05597E+19,38.46469,6.37618E+19
68.795,4.25761E+17,32.514,0.031296098,89.74518,1.03757E+19,39.40418,6.2318E+19
69.525,6.28306E+17,33.244,0.103551044,90.77345,9.52687E+18,40.35587,6.02829E+19
70.255,1.09858E+18,33.974,0.348651346,91.78757,9.38286E+18,41.28316,6.04688E+19
70.985,1.81249E+18,34.704,0.914677395,92.78745,8.08806E+18,42.22266,6.00289E+19
71.715,2.78263E+18,35.434,1.884016161,93.77553,7.85415E+18,43.16215,5.67808E+19
72.445,4.11724E+18,36.164,3.173526165,94.75417,6.8827E+18,44.10165,5.65692E+19
73.175,6.14351E+18,36.894,4.651836088,95.72435,6.51774E+18,45.04114,5.64655E+19
73.905,8.81661E+18,37.624,6.274915897,96.67523,6.14473E+18,45.98063,5.55576E+19
74.635,1.16674E+19,38.354,7.952870756,97.63358,5.34962E+18,46.92012,5.52997E+19
75.365,1.49726E+19,39.084,9.621149316,98.58766,4.36493E+18,47.85962,5.49949E+19
76.095,1.83435E+19,39.814,11.308751,99.53861,4.63621E+18,48.79911,5.29408E+19
76.825,2.16966E+19,40.544,12.95588084,100.48701,5.04942E+18,49.7264,5.31644E+19
77.555,2.47976E+19,41.274,14.47118482,101.43341,4.13763E+18,50.6659,5.0618E+19
78.285,2.76654E+19,42.004,15.94426995,102.39056,3.91878E+18,51.60539,5.19308E+19
79.015,2.98222E+19,42.734,17.4573077,103.33425,3.70551E+18,52.55708,5.17033E+19
79.745,3.17032E+19,43.464,18.97134835,104.27688,3.40521E+18,53.49658,5.06134E+19
80.475,3.24796E+19,44.194,20.36459856,105.2188,3.39934E+18,54.43607,4.86533E+19
81.205,3.26281E+19,44.924,21.55580161,106.14793,3.23244E+18,55.37557,5.01878E+19
81.935,3.18761E+19,45.654,22.72080339,107.08878,2.44646E+18,56.31506,4.95378E+19
82.665,3.02407E+19,46.384,23.87106918,108.0293,2.39605E+18,57.25456,4.95895E+19
83.395,2.86159E+19,47.114,24.80500243,108.96954,2.21489E+18,58.19405,4.73644E+19
84.125,2.63981E+19,47.844,25.57866486,109.90956,2.21923E+18,59.12136,4.69534E+19
84.855,2.36656E+19,48.574,26.25144152,110.84944,1.96562E+18,60.06089,4.39585E+19
85.585,2.15106E+19,49.304,26.8260739,111.78921,1.95185E+18,61.00044,4.04917E+19
86.315,1.9475E+19,50.034,27.41335683,112.72887,1.82061E+18,61.94005,3.75974E+19
87.045,1.71336E+19,50.764,27.9888277,113.66848,1.61297E+18,62.87965,3.29758E+19
87.775,1.51059E+19,51.494,28.42523208,114.60806,1.56713E+18,63.83147,2.90718E+19
88.505,1.29726E+19,52.224,28.46687665,115.54762,1.45311E+18,64.77107,2.36293E+19
89.235,1.12461E+19,52.954,28.15693119,116.48716,1.21499E+18,65.71069,1.96525E+19
89.965,9.29407E+18,53.684,27.79633447,117.42668,1.40309E+18,66.65056,1.56079E+19
90.695,7.8381E+18,54.414,27.11967748,118.36619,1.14965E+18,67.57947,1.32583E+19
91.425,6.86103E+18,55.144,25.70263698,119.3057,1.02177E+18,68.5248,1.05971E+19
92.155,5.95385E+18,55.874,23.6303334,120.2452,9.95916E+17,69.47695,8.42528E+18
92.885,4.82661E+18,56.604,21.3072697,121.1847,9.18043E+17,70.43919,6.4891E+18
93.615,4.22904E+18,57.334,18.89552991,122.1242,9.60907E+17,71.41147,4.81129E+18
94.345,3.64025E+18,58.064,16.40580281,123.0637,9.03485E+17,72.3934,4.0686E+18
95.075,3.07373E+18,58.794,14.09398581,123.991,6.48325E+17,73.38503,2.4515E+18
95.805,2.75436E+18,59.524,12.12874312,124.9305,6.49694E+17,74.38532,1.27801E+18
96.535,2.52085E+18,60.254,10.45175219,125.8822,7.9226E+17,75.39388,8.12956E+16
97.265,2.17949E+18,60.984,9.018584844,126.82169,7.82458E+17,76.42402,1.00E+10
97.995,1.87388E+18,61.714,7.719061232,127.76119,6.4152E+17,77.43495,1.00E+10
98.725,1.53815E+18,62.444,6.524582688,128.70068,5.45047E+17,78.46631,1.00E+10
99.455,1.28781E+18,63.174,5.552379493,129.64018,5.44388E+17,79.50117,1.00E+10
100.185,1.02828E+18,63.904,4.837400028,130.57967,5.06015E+17,80.54267,1.00E+10
100.915,9.05041E+17,64.634,4.256942183,131.51917,5.38907E+17,81.58791,1.00E+10
101.645,8.44601E+17,65.364,3.649014749,132.44646,3.7283E+17,82.63762,1.00E+10
102.375,7.25115E+17,66.094,3.086182676,133.38596,3.78687E+17,83.69168,1.00E+10
103.105,6.16757E+17,66.824,2.64298617,134.32545,3.32309E+17,84.7469,1.00E+10
103.835,6.47334E+17,67.554,2.28182621,135.26494,3.97216E+17,85.80478,1.00E+10
104.565,5.18813E+17,68.284,2.000675039,136.20444,3.0732E+17,86.84933,1.00E+10
105.295,4.10105E+17,69.014,1.734886359,137.14393,3.55071E+17,87.90554,1.00E+10
106.025,3.89946E+17,69.744,1.474462529,138.09563,3.14005E+17,88.95541,1.00E+10
106.755,3.4988E+17,70.474,1.26792795,139.03512,2.49918E+17,90.00844,1.00E+10
107.485,3.20762E+17,71.204,1.098694077,139.97462,2.26188E+17,91.03288,1.00E+10
108.215,3.16062E+17,71.934,0.953009798,140.91411,3.4891E+17,92.0435,1.00E+10
108.945,3.06062E+17,72.664,0.834360905,141.8414,2.1877E+17,93.03974,1.00E+10
109.675,2.34603E+17,73.394,0.723471727,142.78089,2.98614E+17,94.02506,1.00E+10
110.405,1.43516E+17,74.124,0.619651887,143.72039,1.86137E+17,95.00143,1.00E+10
111.135,7.85376E+16,74.854,0.535341443,144.65988,2.19062E+17,95.96952,1.00E+10
111.865,1.12844E+17,75.584,0.459352368,145.59937,9.72786E+16,96.91879,1.00E+10
